level_cnt1,ads_cnt1,pvp_cnt1,pvp_won_cnt1,gem_spend1,coin_spend1,gem_earn1,ads_reward_cnt1,org_hero_cnt1,level_e_try_cnt1,level_e_cnt1,idle_cnt1,purchase_times1,login_cnt1,level_h_cnt1,log_num1,d1_duration,d2_duration,d3_duration,willpay,daily_task_cnt1,level_cnt2,ads_cnt2,pvp_cnt2,pvp_won_cnt2,gem_spend2,coin_spend2,gem_earn2,ads_reward_cnt2,org_hero_cnt2,level_e_try_cnt2,level_e_cnt2,idle_cnt2,purchase_times2,login_cnt2,level_h_cnt2,log_num2,daily_task_cnt2,level_cnt3,ads_cnt3,pvp_cnt3,pvp_won_cnt3,gem_spend3,coin_spend3,gem_earn3,ads_reward_cnt3,org_hero_cnt3,level_e_try_cnt3,level_e_cnt3,idle_cnt3,purchase_times3,login_cnt3,level_h_cnt3,log_num3,daily_task_cnt3
93,26,5,5,1014,294700,670,25,0,3,3,27,0,6,11,911,6690524,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,0,0,0,1090,617400,1292,0,0,6,3,1,0,3,80,1609,11149596,67607,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,18,0,0,0,292400,634,0,0,10,8,4,0,4,37,990,9410759,23554316,8980520,0,9,125,26,0,0,2250,765000,1541,2,0,27,14,6,0,6,22,1181,7,26,31,0,0,660,450000,729,0,0,25,15,5,0,7,8,551,2
80,12,6,6,450,169660,483,9,0,8,5,10,0,1,27,897,13535347,2180867,796267,0,7,9,1,0,0,0,37440,254,1,0,3,0,1,0,1,0,108,3,10,4,0,0,180,27060,40,3,0,0,0,0,0,2,0,105,2
65,13,5,5,0,115160,368,9,0,0,0,0,0,3,40,775,3563257,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,57200,112,0,0,0,0,0,0,2,5,409,2410026,1662547,486420,0,5,32,0,0,0,460,78300,330,0,0,1,1,0,0,4,0,220,4,9,0,0,0,60,45720,90,0,0,0,0,0,0,3,0,86,4
71,9,16,16,310,204500,514,6,0,2,2,6,0,3,21,830,6082834,4364550,0,0,13,68,12,9,9,0,397800,682,8,0,0,0,4,0,2,30,736,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,7,0,0,817,223200,583,6,0,6,2,0,0,3,18,973,6657974,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,74,0,0,0,193700,194,62,0,1,0,4,0,5,19,1158,10997496,5202924,2376448,0,0,15,16,0,0,400,158700,267,16,0,2,2,1,0,5,11,296,0,17,5,1,1,0,60000,224,5,0,3,2,1,0,6,0,186,0
81,116,20,20,450,458000,544,40,1,6,5,20,0,5,40,1733,11113476,0,2341098,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,21,21,10,90000,659,8,0,1,0,2,0,2,5,300,7
583,12,0,0,3640,1842000,3855,2,0,0,0,29,0,5,0,4088,27325177,22163848,14081184,0,5,189,5,0,0,2195,1233300,1665,3,0,0,0,21,0,2,0,1851,0,302,2,0,0,2480,1162300,2687,0,1,0,0,11,0,2,0,1933,5
211,0,24,24,3613,1061000,3329,0,2,4,4,22,0,9,65,2008,8560600,3184055,350725,0,14,42,0,10,10,370,331500,431,0,0,0,0,4,0,1,0,340,0,1,0,0,0,250,0,180,0,0,0,0,1,0,1,0,38,0
87,27,0,0,360,292400,756,8,0,15,10,9,0,9,33,1045,8828403,9376614,10107935,0,11,102,28,6,6,300,585000,1258,2,0,16,5,8,0,7,22,1068,6,90,39,12,12,2280,924000,1643,2,0,18,6,7,0,4,33,1148,7
50,76,6,6,0,233660,301,20,0,0,0,9,0,4,40,1085,6805650,1916837,2247143,0,7,1,27,0,0,0,163740,354,0,0,0,0,3,0,4,26,355,6,1,41,0,0,0,210000,246,1,0,0,0,1,0,1,40,473,0
107,36,15,15,1270,375400,954,32,0,17,11,21,0,4,67,1477,12224531,11819908,5304668,0,0,49,27,3,3,792,525000,907,27,0,32,11,23,0,2,33,870,0,41,23,1,1,686,285000,584,21,0,3,0,15,0,2,14,554,0
15,0,0,0,0,3720,20,0,0,0,0,1,0,2,9,156,680161,0,1240433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,40700,70,0,0,0,0,3,0,2,0,189,3
37,1,0,0,0,19120,31,1,0,0,0,6,0,3,7,311,2131383,0,4879802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,7,11,11,607,177200,659,6,0,4,3,10,0,4,0,622,5
86,1,2,2,300,169160,675,0,0,3,2,5,0,3,25,778,4260166,3977880,3205090,0,12,64,2,0,0,0,153240,446,0,0,7,4,1,0,2,0,400,0,24,30,0,0,0,480000,747,0,0,1,0,1,0,2,30,522,6
44,1,0,0,0,42420,104,1,0,0,0,4,0,5,2,352,2011180,543228,671262,0,5,13,0,0,0,0,12780,75,0,0,0,0,1,0,6,0,105,1,17,0,0,0,300,30600,225,0,0,0,0,1,0,1,0,119,3
92,3,17,17,1034,215800,755,3,0,4,3,5,0,5,17,948,7134922,11749501,3784340,0,12,24,1,4,4,630,130800,510,1,0,0,0,5,0,3,2,251,5,38,3,3,3,317,132500,587,3,0,0,0,4,0,4,4,356,2
317,437,0,0,2791,3428100,3019,193,0,34,20,8,0,11,120,5748,47183914,8149325,8866262,2,12,38,118,0,0,1820,1290000,1543,65,0,0,0,5,0,7,80,1522,6,47,123,0,0,700,1305000,1501,100,0,0,0,4,0,5,80,1627,5
582,246,69,69,5206,4091400,5385,107,2,6,4,17,1,8,120,6545,40253193,27904248,27136305,8,14,447,160,40,40,4010,3770300,4986,91,2,4,3,27,0,8,80,4861,7,352,182,39,39,4352,3251000,3552,97,3,2,2,29,0,10,30,4056,7
165,3,0,0,0,337400,720,2,0,0,0,0,0,3,0,1057,8562302,11735530,3169527,0,0,128,2,25,25,1400,840000,2095,1,0,12,10,0,0,5,163,1869,9,29,4,2,2,800,240000,635,3,0,5,4,0,0,3,0,251,3
232,117,31,31,1590,1531200,2576,17,0,9,7,16,0,4,120,3179,22068325,11135442,4177148,0,14,153,31,20,20,2734,1344500,2272,9,1,0,0,8,0,4,74,1941,7,18,8,20,20,170,300500,1306,0,0,0,0,6,0,7,80,837,7
64,15,13,13,6069,284500,5767,4,1,0,0,7,1,5,66,1206,7908894,1481302,4930388,1,14,6,5,0,0,0,62600,463,5,0,3,2,3,0,1,12,192,4,5,0,4,4,2990,517800,3751,0,3,3,2,5,6,4,42,576,6
