"gaid","country","level_cnt","ads_cnt","pvp_cnt","pvp_won_cnt","gem_spend","coin_spend","gem_earn","ads_reward_cnt","org_hero_cnt","level_e_try_cnt","level_e_cnt","idle_cnt","purchase_times","login_cnt","level_h_cnt","log_num","d1_duration","d2_duration","d3_duration"
"2478c902-4dd4-48fa-ad0a-db06fc2ffeb1","US","538","211",,,"5000","3705700","4608","64","1","47","17","28",,"13","3","5194","1473372","34385087","23308681"
"958c7f3c-a2e3-465e-a651-4b0e443e439d","US","71","5",,,"600","175600","470","5",,"1","1","15",,"7","31","727","1889935",,"1762245"
"9fc769d7-6306-421d-98ee-525c32a24938","US","75",,"2","2","400","115160","344",,,"19","10","3",,"24","25","782","362278","8731589","1519937"
"a74e825c-0f83-495f-a66e-639ce7e868fa","US","144","7",,,"600","380500","744",,,,,"10",,"9",,"1340","110730","731356","12990599"
"daf89e87-f16d-4cd7-9e97-0d17d51a4941","US","160","1","39","39","2808","838200","2515","1",,"1","1","22",,"2","134","2376","6168185","1204","6167256"
"3725b8ed-a410-4408-bcb4-baa6a4be5e1f","US","105","19","35","35","1800","517400","1572","18",,"7","5","1",,"9","34","1326","4285762","3440247","1292850"
"b33038bb-1bc8-4a1a-be90-9489abb999f0","US","79",,,,"910","219920","679",,,"19","10","35",,"6","5","697","3655712","4006941","6021325"
"43a8d58d-f18b-4b69-bb1e-20c2c0ebe432","US","70","110",,,,,,"108",,"4","4",,,"20","33","1488","2403696","2424726","5611831"
"ece1b856-5e72-42a5-ae5e-e3d5f0fae810","US","13","13",,,,"14160","40","1",,,,"1",,"2",,"191","657561","1034960",
"16dfd6bc-1cdf-46b3-8675-5f1aa77da550","US","30","23",,,"250","57800","118","22",,,,"4",,"4","9","481","1353934",,"2266743"
"b8ac593c-18f6-4ae2-b626-b4615c362247","US","443","66","45","45","5686","2816400","5466","65","4","189","121","72",,"16","53","4475","31926454","17436492","21346540"
"604333d1-4d2a-4100-b6e7-8a6eb5b66040","US","634","9","14","14","5290","2364700","5344","8","2","32","20","29",,"8","81","4694","1402953","28607439","3721135"
"c654af85-b3be-47ee-a870-be87881f4333","US","110","4","2","2","180","233660","805","4",,"4","3","2",,"7","18","905","1925016","2708593","2349972"
"2e787187-38e9-44e6-a02b-4172e2a3493a","US","108","150","5","5","730","594400","1278","28","3","4","2","2","2","5","56","2141","30170942","4716775","9566629"
"2e31b688-36f2-4f88-8b9f-4477fa93df6a","US","128","40","15","15","370","99060","1713","5",,"3","2","10",,"7","120","1915","2297422","5628328","5714738"
"51c170ab-0e52-426a-be0e-9eabf59fecd4","US","83","7","12","12","400","219920","580","6",,"13","9","20",,"5","40","1010","9936249",,"265102"
"4cada591-1475-4807-bee7-0a5ea6163151","US","132","2",,,"700","307400","1427","1",,,,"13",,"7","25","1090","2834263","1240769","2726342"
"df168f08-c624-4275-ad97-57796a6625d0","US","367","6","67","67","14760","2553700","14627",,"9","24","19","18","15","5","74","3634","9770148","8887590","19391695"
"5e497a5d-5a38-4e77-9e53-1b7537803bc9","US","237","124","20","20","2065","1297400","2169","60","1","23","15","10",,"11","40","2857","6267236","16311695","6625044"
"1ceb3399-195c-4fea-b825-647bf60d39ca","US","89","53","4","4","1170","379400","1088","21","1","5","4","6","1","2","38","1261","3966793",,"3274810"
"5ba3ef39-269b-4495-abdd-4103e843a153","US","123","146","9","9","1120","787400","1305","72",,"13","13","33",,"9","24","2052","1845735","5155774","7856486"
"7fc0b30a-747c-447d-a38c-41c3bfa64786","US","182","7",,,"920","1078220","2568","3","1","53","43",,,"8","222","2722","18171798","6273723","680084"
"386d8616-2292-4dae-bf10-d71b7799b4a6","US","157","3",,,"502","384000","618","2",,"2","1",,,"6","3","1477","6271997","1073034","6963627"
"8107b40b-c63e-4c54-9624-e9191c81ce28","US","327","160","65","65","5205","2852500","4926","116","3","48","38","29","1","13","200","5129","13503985","18103858","15074429"
