"gaid","country","level_cnt","ads_cnt","pvp_cnt","pvp_won_cnt","gem_spend","coin_spend","gem_earn","ads_reward_cnt","org_hero_cnt","level_e_try_cnt","level_e_cnt","idle_cnt","purchase_times","login_cnt","level_h_cnt","log_num","d1_duration","d2_duration","d3_duration","willpay","daily_task_cnt"
"7e1f3c2b-573e-422f-bdf4-6a27d503cbdb","BR","71","2",,,"1350","397400","1200",,,"13","10","12",,"19","118","1279","2580969","2785394","6716296",,"9"
"439fe280-d721-432b-a4eb-f02b5e38e225","BE","106","5","26","26","10","426100","1141","4",,"29","20","9",,"5","50","1274","11936044","154406",,,"12"
"244056d6-4282-466b-81e4-77a6ae504c11","IT","80",,,,,"115160","280",,,"9","5","6",,"5","32","784","7649870","1100933",,,
"fdbdfddb-6e7f-4acf-9d39-e3cbda9cc048","PL","69","2",,,,"85800","120",,,,,,,"2",,"730","7742288",,,,
"bae56b10-5f44-4045-a500-e525819d86a6","KZ","90",,"7","7","0","249820","862",,,"9","8","15",,"4","47","974","3512376","4098291",,,"11"
"825f9394-a592-405c-803f-1cc7f205e0ec","BD","147","4","1","1","400","375500","915",,,"26","19","5",,"8","16","1324","14492052","680612",,,
"bacd854e-ed09-4229-99ff-d08cf076c6ae","RO","162",,"22","22","1946","605920","1553",,"1","5","3","17",,"10","69","1753","8450329","3966019",,,"12"
"e2e8aecd-835a-4cfe-bf43-93ab222206e4","IN","211","3","1","1","2417","870800","2222","2","1","4","2","68",,"17",,"1982","6269937","10328612","1664375",,"9"
"4122cd0c-5771-479e-bdbc-507357a6fc46","PH","127",,,,"0","307400","1300",,,"142","40","19",,"7","40","1363","4271467","20469397","5670725",,"11"
"0331b947-9223-443f-997f-edb5ad2e9945","AR","297","137","13","13","2400","1822800","2680","76",,"64","40","13",,"7","35","2984","29758525","27329776",,,"13"
"1c2610dd-673f-43bc-9eaa-5d93e9a4b0be","AR","192","11","1","1","2568","736600","2279",,"1","15","10","27",,"15","65","1895","7422349","4438563","883972",,"8"
"8fdbef6c-cedd-4f7d-b5a7-ae0564a72514","MM","189","77",,,"1435","963900","1096","59",,"2","2","4",,"9","30","1916","12154085",,,,"6"
"f268620f-c568-47b4-bc38-766231f672b0","UA","144","33",,,"300","442400","1166",,,"6","5","3",,"3","50","1393","7950023",,,,"10"
"9b454e52-fefc-44e0-be18-9bbc93b46f43","EG","68","15","4","4","600","79620","393","14",,"5","2","2",,"3","41","850","4123425","1432143",,,"5"
"bff2198e-5d18-4f6e-9c31-f4b9d8dc6e5b","FR","125",,,,"0","292400","1033",,,"2","2","6",,"5","53","1091","2778952","2875706",,,"5"
"9e4f3658-3a83-4c84-b89e-1ab1831a8bc8","IQ","107","12",,,"0","170460","761","1",,,,"19",,"14","1","824","4479624","1291139","432206",,
"1f505c51-68e8-49d2-835f-d949294e5014","DZ","77","1","4","4","443","162820","484",,,"15","11","13",,"4","16","685","6975459",,,,"7"
"74766dd4-7376-4ffa-9040-789efaf8cfcd","US","83","7",,,"660","229120","743",,,"12","6","10",,"7","67","1039","2784445","4421017","2192973",,
"154c09c3-8d26-48c8-ad3c-2e0ee37edf8d","AZ","143","11","51","51","3144","869400","2840","11",,"16","5","14",,"10","130","2444","10221830","5048796",,,"21"
"ff884e82-14b6-4408-82c8-b3ac771a3cf6","MM","249","74","40","40","3019","1642300","2743","9","2","14","12",,,"6","120","3053","11778726","10796933",,,"12"
"17579ae6-e0ef-46b1-ae55-8e7a1522a460","ID","88","5",,,"0","95100","243",,,,,"15",,"3",,"622","1847025",,"2877292",,
"c01ceaeb-c017-4bdd-9020-5b5bfb48e7c5","VN","72",,"5","5","1254","202860","942",,,"6","6","29",,"4","34","824","2572472","989905","1787657",,"17"
"be0e439a-884c-4124-8570-44c242ac2f43","BD","43","6","6","6",,"7020","5",,,,,"10",,"4",,"492","5782830","532751",,,
"585fba30-a236-41c5-ab87-7b3f97548680","ID","74","4",,,"210","150700","450",,,"7","3","2",,"3","40","827","6903706",,,,"6"
"2bc3cc69-b345-41f9-8dc3-ccd9aabb8458","ID","137","37","25","25","1487","610700","1427","22",,"5","3","10",,"6","19","1435","3267232","5837582",,,"13"
"faf17cf6-d0ed-4e16-8e72-7d4b77bc961b","ID","171","2","8","8","2166","666400","2132",,"1","15","10","22",,"11","85","1917","9632725","3232339",,,"9"
"a7f30569-6cc9-4b88-bb8a-b14465fb5a63","LA","145","6","1","1","710","412400","1267",,,"15","5","9",,"8","60","1386","2914227","3297586","1151673",,"10"
"39f3d11e-2f2b-4da0-9a2f-a5de4b4d40b4","US","16","17",,,,"17820","14",,,,,"5",,"2","3","235","7735303",,,,
"3fb9057f-692b-4fa7-bb2c-f956d7358a77","PL","74",,,,,"85800","120",,,,,,,"5",,"854","2780283","4667390","487628",,
"79294772-9f70-4e9a-97e6-a581cad4d319","MX","96","32",,,"100","294400","560",,,"16","9",,,"11",,"915","556512","7258895","4193409",,"8"
"ca58f1e0-0fa5-476a-9ec5-4fc75746bbd4","RS","71","46","1","1","400","193700","379",,,"4","3","7",,"5","40","999","6784679",,,,"5"
"9679ffe2-bf5f-4912-a0ca-f22dcb84a131","PH","74",,"5","5","460","129020","294",,,"2","2","1",,"10","5","677","450480","4178539","90181",,"8"
"0380d2cd-3202-4c62-82fe-c7b6281a3c7b","IT","45","28",,,"450","87800","206","6",,,,"9",,"4","15","677","5857423",,,,"11"
"b488878d-38ed-4e1a-ae0c-74f5510f2fa9","VN","2",,,,"250","5800",,,,,,"3",,"6",,"39","212388",,,,
"a96889bb-886e-4ede-87d3-f58906be454e","BD","141","20",,,"490","372800","793","1","1","13","8","3",,"8","25","1206","5309319","1522738","1524765",,"10"
