country,level_cnt1,ads_cnt1,pvp_cnt1,pvp_won_cnt1,gem_spend1,coin_spend1,gem_earn1,ads_reward_cnt1,org_hero_cnt1,level_e_try_cnt1,level_e_cnt1,idle_cnt1,purchase_times1,login_cnt1,level_h_cnt1,log_num1,d1_duration,d2_duration,d3_duration,willpay,daily_task_cnt1,level_cnt2,ads_cnt2,pvp_cnt2,pvp_won_cnt2,gem_spend2,coin_spend2,gem_earn2,ads_reward_cnt2,org_hero_cnt2,level_e_try_cnt2,level_e_cnt2,idle_cnt2,purchase_times2,login_cnt2,level_h_cnt2,log_num2,daily_task_cnt2,level_cnt3,ads_cnt3,pvp_cnt3,pvp_won_cnt3,gem_spend3,coin_spend3,gem_earn3,ads_reward_cnt3,org_hero_cnt3,level_e_try_cnt3,level_e_cnt3,idle_cnt3,purchase_times3,login_cnt3,level_h_cnt3,log_num3,daily_task_cnt3,pvp-unlock,hunt-unlock,exp-unlock,label
UA,60,7,2,2,600,115160,281,0,0,0,0,5,0,1,40,694,3498796,7880807,5065641,0,6,35,23,1,1,450,393360,849,0,0,23,20,13,0,7,0,503,7,90,2,11,11,500,365880,902,0,0,11,8,5,0,4,0,667,1,1,1,1,1
PK,62,0,0,0,0,44420,0,0,0,0,0,1,0,2,0,393,3027335,986567,3419103,0,0,22,0,0,0,0,35100,120,0,0,0,0,0,0,1,0,134,0,46,0,0,0,0,140400,378,0,0,1,1,0,0,2,12,426,0,1,1,1,1
UA,61,4,0,0,0,79520,168,1,0,0,0,6,0,1,40,623,3079093,2834028,19909,0,0,19,1,0,0,0,101700,409,0,0,14,7,7,0,3,8,242,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,1,1,1
NO,49,0,2,2,0,44420,90,0,0,0,0,2,0,1,0,338,1806225,0,4922998,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,34,12,12,650,289980,638,1,0,5,3,4,0,1,16,601,11,1,1,0,1
,121,3,0,0,120,181920,468,0,0,1,1,0,0,2,20,909,8600789,4261026,0,0,0,50,0,0,0,230,291180,390,0,0,0,0,0,0,4,6,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
TH,157,5,3,3,200,469400,1146,0,0,16,10,9,0,4,60,1469,10268153,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
BG,159,32,0,0,562,518500,640,20,0,3,2,69,0,3,0,1530,13393273,4503797,0,0,0,50,44,0,0,60,480000,611,43,0,2,0,4,0,2,12,726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
LB,165,26,12,12,1632,544800,1373,26,0,10,10,19,0,5,40,1603,15995392,618339,0,0,12,5,0,0,0,250,45000,134,0,0,0,0,2,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
FR,90,25,0,0,0,367400,562,0,0,0,0,0,0,3,19,827,4594682,11822805,2075739,0,6,64,146,1,1,0,1380000,1045,12,0,1,1,0,0,4,80,1962,5,19,20,0,0,0,165000,305,2,0,0,0,0,0,3,1,281,5,1,1,1,1
SA,131,0,0,0,946,239900,570,0,0,1,0,0,0,1,0,904,7328698,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
MX,122,8,2,2,393,184720,416,7,0,1,1,5,0,6,8,872,5243604,5217794,0,0,0,39,3,2,2,550,272980,710,3,0,6,4,0,0,4,27,552,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
MX,92,36,20,20,1091,428100,822,0,0,58,20,3,0,1,47,1362,18045871,1386617,0,0,13,3,1,12,12,250,75000,169,0,0,2,1,1,0,2,0,130,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
FR,88,4,5,5,0,125720,350,0,1,7,6,1,0,1,0,624,5116681,0,284478,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10380,15,0,0,0,0,0,0,1,0,20,1,1,1,1,1
BR,110,0,6,6,980,376400,720,0,0,24,17,2,0,2,40,1078,9828367,0,1340977,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,15000,0,0,0,2,1,0,0,1,0,53,0,1,1,1,1
BR,70,2,0,0,400,135500,272,0,0,23,13,0,0,3,5,552,6336439,3020499,0,0,5,3,0,0,0,0,33660,0,0,0,13,4,0,0,2,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
IT,42,5,0,0,200,42420,81,3,0,0,0,4,0,1,0,310,1615777,5496755,0,0,4,28,9,21,21,460,138800,379,1,0,12,8,3,0,1,12,490,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
IN,47,2,0,0,0,12920,42,2,0,0,0,5,0,3,10,382,2417962,7142641,3711331,0,0,90,7,0,0,60,132300,688,6,0,11,10,1,0,11,6,741,2,67,11,0,0,900,495300,660,10,0,1,1,0,0,3,11,646,5,1,1,1,1
DZ,74,2,0,0,143,119260,368,0,0,4,3,1,0,7,11,675,4877645,3468320,3586176,0,9,20,2,0,0,60,109760,255,0,0,9,4,0,0,6,1,237,4,43,4,0,0,500,54980,360,0,0,4,3,0,0,3,1,314,0,1,1,1,1
SY,53,19,0,0,98,91800,226,16,0,0,0,1,0,6,26,660,4455434,8667632,0,0,5,40,16,0,0,388,213200,366,12,0,15,9,0,0,7,24,578,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
PH,117,43,22,22,370,281800,678,24,0,26,11,2,0,6,40,1443,13533280,12261158,1659203,0,7,93,43,18,18,400,660000,1566,32,0,15,8,2,0,6,25,1242,7,9,14,0,0,0,0,181,1,0,0,0,1,0,2,3,153,1,1,1,1,1
VN,13,0,0,0,0,5700,0,0,0,0,0,1,0,1,0,109,671375,2312878,254812,0,0,53,1,0,0,0,49200,179,0,0,0,0,0,0,1,2,353,3,4,0,0,0,0,13620,0,0,0,0,0,0,0,1,3,49,0,1,1,1,1
VN,138,0,0,0,201,352400,841,0,0,0,0,0,0,1,45,1306,10046856,5693484,0,0,5,71,0,0,0,881,416500,770,0,0,0,0,0,0,4,41,847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
VN,157,16,11,11,300,521200,964,1,0,22,21,4,0,2,40,1423,12822469,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
AU,30,3,5,5,450,64720,266,2,0,0,0,4,0,2,26,438,2362680,4008926,0,0,7,70,10,13,13,460,280440,745,4,1,3,3,7,1,2,14,734,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
KR,75,4,0,0,760,175960,367,2,0,10,7,31,0,2,17,696,8625470,76946,0,0,5,0,0,0,0,0,0,82,0,0,0,0,1,0,1,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
IN,5,0,0,0,0,2160,0,0,0,0,0,0,0,2,0,48,518079,5201250,0,0,0,65,3,0,0,890,107860,494,2,0,5,4,9,0,4,40,746,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
