,level_cnt1,ads_cnt1,pvp_cnt1,pvp_won_cnt1,gem_spend1,coin_spend1,gem_earn1,ads_reward_cnt1,org_hero_cnt1,level_e_try_cnt1,level_e_cnt1,idle_cnt1,purchase_times1,login_cnt1,level_h_cnt1,log_num1,d1_duration,d2_duration,d3_duration,willpay,daily_task_cnt1,level_cnt2,ads_cnt2,pvp_cnt2,pvp_won_cnt2,gem_spend2,coin_spend2,gem_earn2,ads_reward_cnt2,org_hero_cnt2,level_e_try_cnt2,level_e_cnt2,idle_cnt2,purchase_times2,login_cnt2,level_h_cnt2,log_num2,daily_task_cnt2,level_cnt3,ads_cnt3,pvp_cnt3,pvp_won_cnt3,gem_spend3,coin_spend3,gem_earn3,ads_reward_cnt3,org_hero_cnt3,level_e_try_cnt3,level_e_cnt3,idle_cnt3,purchase_times3,login_cnt3,level_h_cnt3,log_num3,daily_task_cnt3,pvp-unlock,hunt-unlock,exp-unlock,label
11672,70,0,0,0,200,65820,306,0,0,0,0,11,0,7,12,556,3447106,1851772,0,0,0,19,0,0,0,360,71280,274,0,0,1,1,4,0,6,4,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
11673,23,0,0,0,0,10920,0,0,0,0,0,1,0,5,0,196,2071867,7920476,0,0,0,126,0,0,0,700,354480,720,0,0,2,0,0,0,3,0,981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
11674,71,9,0,0,0,68420,121,0,0,0,0,9,0,2,2,591,6052623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
11675,66,0,0,0,0,57200,166,0,0,0,0,0,0,3,9,452,3860435,6388430,9524813,0,0,39,0,16,16,0,190620,380,0,0,13,12,0,0,3,20,530,0,60,0,11,11,0,269580,425,0,0,9,7,0,0,3,14,577,0,1,1,1,1
11676,82,14,0,0,0,193700,492,11,0,9,6,5,0,5,40,879,5502837,444243,106443,0,1,5,0,0,0,400,12900,213,0,0,3,0,1,0,3,0,51,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,13,0,1,1,1,1
11677,70,13,0,0,250,105620,465,13,0,38,17,11,0,2,40,888,10152315,4250177,0,0,6,40,0,0,0,0,201780,321,0,0,7,3,2,0,0,0,272,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
11678,80,9,30,30,660,168960,303,8,0,4,4,0,0,2,17,871,5248702,3169408,6254541,0,5,13,1,4,4,540,140240,544,1,0,12,5,1,0,2,0,162,5,55,4,23,23,1000,352500,1001,3,0,14,4,5,0,1,0,588,4,1,1,1,1
11679,5,0,0,0,0,2160,0,0,0,0,0,0,0,1,0,43,315830,9126031,2646733,0,0,166,0,0,0,245,427640,1009,0,0,4,3,0,0,2,38,1285,5,20,0,0,0,60,165000,305,0,0,0,0,0,0,2,18,301,3,1,1,1,1
11680,182,219,3,3,500,1065400,1228,176,0,3,3,4,0,7,40,2786,23216084,5338368,20065945,0,7,54,54,0,0,0,495000,479,45,0,0,0,3,0,1,0,690,0,118,109,0,0,0,1140000,891,82,0,0,0,3,0,12,0,1473,0,1,1,1,1
11681,127,3,0,0,0,0,0,3,0,25,11,0,0,14,22,1091,11752333,831709,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,2,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
11682,124,1,0,0,326,186020,391,0,0,0,0,5,0,3,8,822,6453798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
11683,88,27,1,1,250,152120,599,13,0,7,6,8,0,21,8,950,7543841,18154564,14186348,0,10,225,83,10,10,3521,1902580,2800,28,4,3,2,19,0,50,80,2773,8,107,51,4,4,1785,820000,1887,6,1,14,9,9,0,43,83,1664,6,1,1,1,1
11684,8,0,0,0,0,3720,0,0,0,0,0,5,0,2,0,76,5673091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
11685,122,8,16,16,250,223520,422,0,0,14,8,4,0,1,7,1010,12484694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
11686,42,54,0,0,450,157520,266,1,0,0,0,2,0,1,35,811,3920309,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
11687,29,1,0,0,0,38660,126,0,0,0,0,2,0,1,9,276,1621598,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
11688,100,6,20,20,250,292500,684,0,1,21,11,6,0,5,40,1143,6906125,232030,0,0,7,1,0,1,1,0,0,192,0,0,0,0,3,0,2,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
11689,40,0,23,23,1077,277220,713,0,0,14,9,5,0,7,0,503,6969532,4338327,782260,0,13,20,0,0,0,604,104580,723,0,0,6,2,2,0,4,0,175,1,1,0,8,8,200,0,192,0,0,0,0,2,0,1,0,66,0,1,1,0,1
11690,161,0,12,12,1750,664600,1816,0,0,39,30,15,0,6,50,1537,14900060,30116089,11944677,0,12,207,11,20,20,2842,1228500,2793,11,0,127,69,15,0,6,40,1975,7,13,1,11,11,60,500000,763,1,0,50,34,4,0,2,22,451,5,1,1,1,1
11691,99,0,0,0,0,87800,295,0,0,1,1,0,0,5,0,691,4999041,1350409,178490,0,3,29,0,0,0,0,93420,240,0,0,0,0,0,0,2,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,0,1,1,1,1
11692,74,0,0,0,480,87800,274,0,1,0,0,12,0,3,8,677,4855143,1739369,0,0,3,12,0,0,0,250,69720,311,0,0,6,3,1,0,4,9,182,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
11693,116,1,0,0,0,193700,380,1,0,20,10,2,0,9,0,845,9452837,1859309,3389616,0,0,9,0,0,0,360,39960,120,0,0,5,4,0,0,1,1,99,0,21,0,0,0,0,28740,160,0,0,10,1,0,0,5,6,226,0,1,1,1,1
