level_cnt1,ads_cnt1,pvp_cnt1,pvp_won_cnt1,gem_spend1,coin_spend1,gem_earn1,ads_reward_cnt1,org_hero_cnt1,level_e_try_cnt1,level_e_cnt1,idle_cnt1,purchase_times1,login_cnt1,level_h_cnt1,log_num1,d1_duration,d2_duration,d3_duration,willpay,daily_task_cnt1,level_cnt2,ads_cnt2,pvp_cnt2,pvp_won_cnt2,gem_spend2,coin_spend2,gem_earn2,ads_reward_cnt2,org_hero_cnt2,level_e_try_cnt2,level_e_cnt2,idle_cnt2,purchase_times2,login_cnt2,level_h_cnt2,log_num2,daily_task_cnt2,level_cnt3,ads_cnt3,pvp_cnt3,pvp_won_cnt3,gem_spend3,coin_spend3,gem_earn3,ads_reward_cnt3,org_hero_cnt3,level_e_try_cnt3,level_e_cnt3,idle_cnt3,purchase_times3,login_cnt3,level_h_cnt3,log_num3,daily_task_cnt3
185,5,25,25,2100,852900,1862,3,0,18,13,1,0,4,120,2123,12011315,3200309,0,0,12,55,2,0,0,250,195000,426,0,0,4,2,1,0,2,7,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,1,1,400,87800,268,0,1,0,0,3,0,3,40,710,3428991,13621988,0,0,5,78,1,40,40,2010,584100,1937,0,0,28,23,6,0,10,62,1282,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,5,13,13,987,338900,704,5,0,4,3,12,0,5,75,1169,5649500,2112866,0,0,12,17,0,30,30,720,95000,630,0,0,2,1,3,0,2,1,341,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394,36,31,31,4235,2053800,4071,23,1,37,18,44,0,7,98,4037,31326133,2486346,1142088,0,13,41,5,14,14,1260,361600,1034,1,1,0,0,7,0,5,9,505,7,19,0,4,4,480,96400,525,0,2,0,0,2,0,4,3,229,1
33,1,0,0,450,31920,76,1,0,0,0,2,0,5,18,376,3058072,1049180,912911,0,1,9,3,0,0,0,5340,10,3,0,0,0,1,0,7,0,109,1,11,2,0,0,60,11940,60,1,0,0,0,1,0,4,0,106,0
119,3,18,18,344,292100,647,0,0,8,2,20,0,3,41,1135,8315664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0,1,1,1240,382400,1079,0,0,16,12,42,0,5,65,1305,9801378,2004432,0,0,11,21,0,7,7,500,105000,513,0,0,5,4,3,0,1,14,309,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,12,0,0,1020,389200,768,0,0,1,1,5,0,2,12,1247,6503742,17936,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,7,17,17,1408,415100,1105,7,0,16,8,5,0,5,33,1333,8575370,122348,365732,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,6,0,0,0,60,0,263,0,1,0,0,3,0,3,0,60,1
160,0,36,36,719,382400,733,0,0,1,0,0,0,3,9,1426,8656428,612696,686886,0,5,1,0,1,1,0,45000,0,0,0,0,0,0,0,2,0,48,0,0,0,11,11,0,0,300,0,0,0,0,0,0,1,1,102,0
70,0,0,0,0,0,0,0,0,10,6,0,0,13,40,821,6677222,2792112,5101913,0,0,2,0,0,0,0,0,0,0,0,12,8,0,0,6,6,94,0,55,0,0,0,0,0,0,0,0,16,7,0,0,8,5,433,0
213,4,33,33,2022,932900,1797,0,1,2,2,21,0,11,80,2377,13431249,2383732,442445,0,7,32,1,8,8,579,172300,431,0,0,0,0,1,0,5,0,311,3,1,0,0,0,0,75000,135,0,0,0,0,0,0,1,19,135,0
160,0,0,0,1300,544400,1012,0,0,42,28,2,0,6,31,1350,17123643,3653625,3843264,0,10,20,0,0,0,540,180000,480,0,0,14,10,0,0,1,30,376,4,9,0,0,0,0,30000,300,0,0,13,10,0,0,1,0,101,2
98,3,6,6,610,252320,704,3,1,4,3,7,0,11,40,1011,8447601,3870786,5125069,0,6,19,9,17,17,920,344880,903,9,0,0,0,4,0,7,50,662,7,35,1,17,17,1750,352500,1385,1,1,8,3,8,0,4,24,624,6
593,5,5,5,4740,3485200,4530,0,0,18,10,11,0,12,66,6469,42891406,17478440,0,0,8,242,3,0,0,873,1408300,2711,0,1,11,8,3,0,3,80,2584,4,0,0,0,0,0,547200,1676,0,0,0,0,1,0,0,0,0,3
121,5,0,0,618,264300,653,0,0,3,2,6,0,8,40,1046,5305730,0,703839,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,45000,264,0,0,0,0,2,0,3,0,106,1
97,1,8,8,361,220900,441,0,0,15,7,0,0,7,41,1010,8835118,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,3,23,23,800,562400,1189,0,0,3,2,8,0,8,10,1779,10454482,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0,7,7,0,68620,128,0,0,2,1,0,0,3,3,569,4424474,3869027,1018089,0,0,12,0,1,1,0,15300,0,0,0,13,2,0,0,2,0,122,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,21,0
103,23,11,11,32,356400,707,23,0,18,10,1,0,1,39,1210,10572755,954188,0,0,10,2,11,0,0,0,15000,225,10,0,2,1,0,0,1,11,168,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
229,7,44,44,2862,908900,2555,3,0,4,2,19,0,4,68,2345,10488643,1102289,0,0,13,8,1,7,7,0,119900,427,1,0,0,0,2,0,1,10,218,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,99,39960,104,0,0,0,0,2,0,2,23,416,1756473,10807962,3003385,0,0,125,6,20,20,1931,680340,1689,0,0,16,13,0,0,5,79,1544,12,4,0,3,3,420,267000,565,0,0,3,1,0,0,2,52,454,5
81,1,5,5,600,208300,495,0,0,45,18,8,0,9,40,982,10613740,455948,0,0,6,1,0,0,0,0,41220,84,0,0,1,0,1,0,1,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,42,20,20,240,457400,712,42,0,41,30,7,0,3,12,1321,13482311,7198721,0,0,7,92,8,20,20,0,420000,1437,8,0,22,16,2,0,2,10,802,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,3,0,0,964,191920,582,0,0,6,4,4,0,5,28,851,5463516,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,6,26,26,900,787400,1612,6,0,5,4,25,0,2,40,2090,11419950,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,35,0,0,0,77520,92,0,0,0,0,1,0,2,5,520,2857988,1531449,1276006,0,5,11,16,7,7,0,129080,148,0,0,0,0,0,0,1,5,268,7,15,15,0,0,0,55800,120,0,0,0,0,0,0,1,0,172,0
83,0,0,0,0,87800,242,0,0,4,3,0,0,3,6,576,2872479,3684252,94116,0,5,68,0,0,0,60,279600,690,0,0,0,0,0,0,6,0,531,6,0,0,0,0,0,0,20,0,0,0,0,0,0,3,0,20,0
80,0,5,5,0,157620,374,0,0,9,8,4,0,2,23,744,5154703,0,2189652,0,6,30,0,0,0,60,62400,340,0,0,2,1,0,0,2,0,194,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,0
71,93,0,0,250,459920,857,5,0,36,19,5,0,5,59,1484,35587550,7068522,8715743,0,10,30,11,0,0,0,267000,846,0,0,12,8,5,0,6,69,695,2,0,70,0,0,2250,582480,820,3,1,11,7,2,0,3,72,914,6
85,4,37,37,1660,383800,1440,0,1,10,7,6,0,5,85,1478,8439548,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,3,13,13,250,166820,437,2,0,0,0,36,0,4,40,873,4091242,1656226,635760,0,7,23,2,12,12,260,104880,198,2,0,3,2,11,0,1,0,248,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,11,0
90,33,0,0,790,280000,534,3,0,13,10,7,0,7,7,911,7575022,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,22,44,44,1900,658700,1985,22,0,6,3,13,0,15,85,2354,8961704,3688000,3682750,0,13,56,16,8,8,1900,543100,1448,15,2,0,0,10,0,9,35,942,2,37,16,20,20,1285,747000,1327,15,0,0,0,4,0,6,81,1063,7
216,54,35,35,3090,1341400,2717,35,4,3,2,8,4,4,25,2368,16952248,12759215,0,0,12,71,16,13,13,2100,900000,2143,14,1,14,9,5,2,0,70,1204,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,79,7,7,1550,786700,1336,12,0,27,20,18,0,8,41,1897,15880265,4611124,0,0,6,29,5,24,24,847,315000,911,0,0,6,5,7,0,4,36,684,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,11,22,22,2100,1102400,2212,9,0,3,2,10,0,4,82,2580,16061827,0,246961,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,168,0,0,0,0,2,0,1,0,20,0
69,7,5,5,640,98400,385,0,0,4,2,15,0,5,5,610,4732998,3157456,117064,0,8,36,6,2,2,647,128420,520,3,0,0,0,7,0,2,5,327,6,0,0,0,0,60,13740,96,0,0,0,0,1,0,1,0,18,0
93,7,30,30,1510,292400,1117,2,0,3,2,12,0,5,41,1291,6807824,1041848,0,0,13,23,0,0,0,0,60000,414,0,0,0,0,4,0,1,14,226,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,45,0,0,250,33320,28,2,0,0,0,0,0,3,3,530,4084700,1000355,307253,0,1,3,13,0,0,0,5340,42,1,0,0,0,0,0,2,10,153,0,2,2,0,0,0,27000,0,0,0,0,0,0,0,0,0,29,0
65,40,0,0,0,146400,433,0,0,0,0,0,0,3,40,916,6343147,13818124,0,0,9,15,1,0,0,400,176100,91,0,0,52,23,0,0,4,5,253,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,5,12,12,1876,600300,1537,5,0,17,5,38,0,3,22,1677,18094547,4872,414091,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,60,0,159,3,0,0,0,1,0,1,0,42,1
123,45,0,0,0,292400,576,0,0,23,10,3,0,8,5,1112,13038526,3758955,73913,0,0,16,0,0,0,0,105000,297,0,1,11,7,2,0,5,0,143,0,1,1,0,0,0,0,108,0,0,0,0,1,0,1,0,18,0
72,3,0,0,770,146300,543,3,0,9,8,20,0,4,40,840,5596482,38029,146113,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,34920,194,0,0,0,0,3,0,2,0,11,3
135,3,1,1,1011,296420,880,0,0,10,9,3,0,1,40,1138,8165483,378065,0,0,6,5,1,0,0,0,14580,25,0,0,0,0,0,0,2,0,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
90,62,0,0,1130,474100,797,3,0,1,1,5,0,4,54,1357,7894684,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,3,0,0,500,159620,253,0,0,14,11,0,0,3,8,679,8022749,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0,5,5,910,457400,748,0,0,26,20,0,0,3,65,1134,11103801,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,21900,0,0,0,0,0,0,0,2,0,379,3171920,3904823,1785116,0,0,33,1,0,0,0,63900,120,0,0,0,0,0,0,2,0,407,0,28,0,0,0,0,81360,120,0,0,0,0,0,0,1,0,236,0
146,3,0,0,360,292400,703,3,0,6,3,0,0,7,5,988,6017635,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0,4,4,1002,287420,710,0,0,4,2,1,0,4,40,1015,7054061,8937207,0,0,5,35,0,11,11,670,356580,805,0,1,13,10,0,0,3,35,642,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,0,6,6,760,487900,942,0,0,4,2,2,0,2,45,1498,13134465,2893843,30933,0,0,25,0,2,2,720,345000,550,0,0,0,0,0,0,0,45,523,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0
141,0,0,0,1100,352500,1204,0,0,22,10,13,0,4,0,980,10457270,7227934,0,0,9,19,0,0,0,0,105000,402,0,0,25,7,3,0,1,0,201,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
70,1,1,1,216,154420,468,0,0,0,0,0,0,5,70,895,4942426,1351604,321523,0,0,11,0,0,0,180,94800,145,0,0,0,0,0,0,3,24,231,0,4,0,0,0,300,0,120,0,0,2,1,0,0,1,0,44,0
359,62,40,40,3834,2245800,3603,60,2,0,0,14,0,4,102,3355,14866279,6790568,3666865,0,14,96,21,0,0,1680,360000,1518,19,0,0,0,6,0,5,77,1100,5,77,6,20,20,0,1200000,691,6,0,0,0,2,0,2,4,640,2
87,7,9,9,830,234260,604,3,1,5,4,4,0,11,41,992,5147392,4325528,3384031,0,8,16,2,21,21,790,193740,680,2,0,19,12,0,0,3,5,387,7,12,0,7,7,207,75000,210,0,1,17,8,0,0,4,3,209,0
