level_cnt1,ads_cnt1,pvp_cnt1,pvp_won_cnt1,gem_spend1,coin_spend1,gem_earn1,ads_reward_cnt1,org_hero_cnt1,level_e_try_cnt1,level_e_cnt1,idle_cnt1,purchase_times1,login_cnt1,level_h_cnt1,log_num1,d1_duration,d2_duration,d3_duration,willpay,daily_task_cnt1,level_cnt2,ads_cnt2,pvp_cnt2,pvp_won_cnt2,gem_spend2,coin_spend2,gem_earn2,ads_reward_cnt2,org_hero_cnt2,level_e_try_cnt2,level_e_cnt2,idle_cnt2,purchase_times2,login_cnt2,level_h_cnt2,log_num2,daily_task_cnt2,level_cnt3,ads_cnt3,pvp_cnt3,pvp_won_cnt3,gem_spend3,coin_spend3,gem_earn3,ads_reward_cnt3,org_hero_cnt3,level_e_try_cnt3,level_e_cnt3,idle_cnt3,purchase_times3,login_cnt3,level_h_cnt3,log_num3,daily_task_cnt3,pvp-unlock,hunt-unlock,exp-unlock,label
239,21,16,16,2160,1086700,2306,4,0,5,6,14,0,5,72,2196,14486393,6765489,0,0,12,62,40,3,3,1440,960000,984,0,1,0,0,5,0,4,48,978,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
75,4,0,0,120,97000,153,2,0,1,0,13,0,5,4,643,6854196,0,6319633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,6,4,4,660,235900,733,4,0,8,4,20,0,4,2,674,5,1,1,1,1
70,97,6,6,510,412400,763,97,0,1,1,7,0,6,27,1378,11065569,10525601,351842,0,12,85,97,25,25,1374,992000,1800,95,1,14,7,11,0,9,24,1545,9,5,0,0,0,0,30000,9,1,0,1,0,1,0,1,0,40,0,1,1,1,1
80,0,0,0,0,87800,383,0,0,0,0,1,0,2,40,728,4724052,1858341,0,0,6,47,0,0,0,0,118800,444,0,0,0,0,1,0,1,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
106,8,9,9,1264,377700,881,1,0,17,8,12,0,8,31,1119,11712457,494498,0,0,8,1,0,0,0,300,27000,311,0,0,0,0,1,0,1,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
100,0,16,16,700,307500,531,0,0,35,15,0,0,2,28,979,9030984,4380070,7111496,0,6,44,3,2,2,550,207000,410,0,0,11,5,0,0,3,0,365,4,57,1,16,16,1420,462000,1385,0,1,3,2,0,0,4,53,896,7,1,1,1,1
118,3,2,2,1000,277400,735,3,0,9,8,6,0,8,40,1070,7609857,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
320,5,71,71,4590,2109400,4273,0,2,99,56,13,2,11,136,3578,24773484,17542206,13055190,9,14,279,7,16,16,458,1464000,3423,6,0,46,30,14,0,9,19,2019,7,123,87,62,62,323,1695000,2420,27,2,4,2,12,2,10,61,2131,3,1,1,1,1
126,11,0,0,720,247820,796,0,0,16,6,6,0,3,40,1101,10006078,724588,76017,0,0,18,0,0,0,60,44580,161,0,0,0,0,2,0,2,0,122,0,1,0,0,0,60,0,240,0,0,0,0,1,0,1,0,20,0,1,1,1,1
66,0,0,0,0,78120,125,0,0,0,0,14,0,1,0,732,6245552,2634624,0,0,0,18,0,0,0,200,127080,267,0,0,1,1,7,0,1,34,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
184,53,24,24,2652,1248100,2278,21,1,19,15,14,0,5,95,2415,15778898,5258199,2580845,0,14,70,15,20,20,1380,647000,1429,13,1,4,1,6,0,6,11,831,6,2,2,20,20,554,94000,502,2,1,0,0,3,0,4,0,255,4,1,1,1,1
