,Unnamed: 0,gaid,country,level_cnt,ads_cnt,pvp_cnt,pvp_won_cnt,gem_spend,coin_spend,gem_earn,ads_reward_cnt,org_hero_cnt,level_e_try_cnt,level_e_cnt,idle_cnt,purchase_times,login_cnt,level_h_cnt,log_num,pvp-unlock,hunt-unlock,exp-unlock,label
40,40,e59b3d0f-e5cf-4033-8dcf-7557b5705467,AR,103,4,0,0,302,189620,759,0,0,5,2,5,0,5,18,855,1,1,1,0
41,41,a7b25c01-9263-47fd-ad94-9715cdcfe858,UA,70,2,20,20,1240,292800,1074,1,0,3,3,5,0,4,57,1113,1,1,1,0
42,42,218a9540-6ea3-49ea-a742-3594214dc1e8,IN,78,1,1,1,340,159120,374,0,0,8,5,8,0,5,14,649,1,1,1,0
43,43,27428232-d8e7-46b7-8602-0e49fe21ec52,UA,71,5,8,8,250,140000,428,0,0,10,9,2,0,3,40,837,1,1,1,0
44,44,5531ddae-0da2-4957-93d9-ef7c0c5bd935,IR,65,0,12,12,220,119060,410,0,0,0,0,0,0,5,40,806,1,1,0,0
45,45,aaa6b97c-168c-4196-b9e9-4a6bcf8a112c,VN,75,7,13,13,0,169260,400,1,0,9,7,12,0,4,15,772,1,1,1,0
46,46,e7992d2c-3383-4baa-ab57-78cd47d5b5a3,RU,105,0,2,2,640,181220,657,0,0,0,0,8,0,4,30,884,1,1,1,0
47,47,f4e86370-524b-44f4-a43c-dd14af886682,PL,57,1,0,0,394,203100,590,1,0,8,7,4,0,2,40,646,1,1,0,0
48,48,c945c77c-db0e-4875-b994-06b744a5d290,DE,72,6,1,1,700,129420,471,6,0,7,5,4,0,4,12,655,1,1,1,0
49,49,08c3a5c3-87ea-494e-a854-d198275b21fd,UZ,105,6,0,0,279,159320,590,0,0,10,8,10,0,6,8,759,1,1,1,0
50,50,1bd5f82b-59d5-4476-8d16-93dd574f9fa5,UA,81,23,5,5,360,206600,426,2,0,3,2,34,0,5,13,819,1,1,1,0
51,51,311330e6-08d2-4c2e-af93-622350a3f485,VN,86,0,0,0,0,86900,259,0,0,0,0,9,0,5,1,610,1,1,1,0
52,52,498991db-6564-4b22-9df8-04091a85ad9d,NL,110,0,2,2,506,141000,416,0,0,0,0,0,0,5,13,749,1,1,1,0
53,53,3903ca2a-903d-4ade-a368-f814fdf2a4df,CL,82,3,3,3,0,162500,474,3,0,9,7,3,0,1,40,804,1,1,1,0
54,54,8d265a61-9684-487b-8784-f1fc676386fb,ID,70,4,0,0,734,112520,388,3,0,5,3,3,0,3,40,842,1,1,1,0
55,55,f5575d90-93db-471c-863c-292dc25536a7,MX,76,30,0,0,250,100600,177,0,0,3,2,8,0,4,1,662,1,1,1,0
56,56,d3fb352d-8f66-4025-8752-38244e8895d3,ID,70,1,3,3,599,88820,438,0,0,7,5,4,0,4,16,631,1,1,1,0
57,57,c585a2a4-b595-4686-99d2-0bbd7f768298,BG,74,0,0,0,0,115160,294,0,0,10,6,2,0,2,15,583,1,1,1,0
58,58,1fda81dd-c3ea-4174-b4c4-d96ff48227d3,TH,69,6,14,14,0,75860,201,0,0,4,3,3,0,1,17,710,1,1,0,0
59,59,880834e5-6c5d-47c4-8f27-d21e301cc8c1,MM,70,3,0,0,300,98500,346,0,0,13,9,2,0,1,16,595,1,1,1,0
60,60,cdc5262f-d636-4d47-b5cb-eb57a36ac217,TW,70,8,1,1,0,106220,409,0,0,7,5,4,0,1,40,745,1,1,1,0
61,61,39bff64c-a83b-4316-872d-b918947b4b2f,RU,73,3,12,12,570,196160,578,3,0,6,4,2,0,4,27,844,1,1,1,0
62,62,cee3b3fa-b762-4a27-a37c-5a4b5452f06d,VN,87,1,5,5,371,96500,360,0,0,0,0,7,0,4,9,684,1,1,1,0
63,63,3f1b036c-b573-422e-a5f8-46a4f3012ba7,FR,69,87,0,0,0,206600,180,3,0,5,3,3,0,4,13,1010,1,1,0,0
64,64,5725c5f8-f04f-4a9f-bed0-48ddc952c864,ES,75,11,8,8,250,152660,409,5,0,3,2,2,0,4,31,889,1,1,1,0
65,65,6ef297d5-abb5-47f9-ad78-d2bb02d3b55c,BR,67,9,0,0,500,98300,326,0,0,0,0,5,0,2,12,561,1,1,0,0
66,66,dee94615-7ee7-4305-a581-e3b79c3899df,ID,75,0,5,5,620,144300,293,0,0,11,8,0,0,12,5,660,1,1,1,0
67,67,31ff8242-f053-4711-95fb-6b05716dcf76,ID,93,3,1,1,688,178560,382,0,0,9,7,1,0,3,7,714,1,1,1,0
68,68,9068137b-ebb8-4106-aa55-f551039f783e,MX,62,7,0,0,720,135500,475,0,0,2,1,5,0,4,40,746,1,1,0,0
69,69,e6dd1dcf-672e-446c-ad3a-f250a6522e60,ES,131,9,0,0,600,247820,540,1,0,1,1,6,0,1,10,907,1,1,1,0
70,70,ff267200-c6b6-4d39-b372-b8ca36bacca9,IN,54,5,23,23,630,162220,298,0,0,0,0,0,0,2,41,924,1,1,0,0
71,71,0ffc0f08-9257-42bf-a37b-2b803d658f2d,ES,63,65,0,0,0,234860,287,0,0,0,0,4,0,5,40,1117,1,1,0,0
72,72,f6aec683-e404-436b-8e2e-8748dbdcda19,VN,80,2,7,7,730,201600,394,2,0,11,9,11,0,3,10,702,1,1,1,0
73,73,e5708e24-74fd-4bb6-a7a0-c695f631ccb3,VN,70,0,17,17,289,155700,414,0,0,7,5,13,0,5,41,836,1,1,1,0
74,74,22ff17ac-aa91-482f-800c-7c237b338208,AR,71,24,3,3,840,262400,479,0,0,3,3,15,0,3,27,862,1,1,1,0
75,75,3283fe0b-2f8b-4221-a71f-de503548acdd,BG,110,4,0,0,631,162120,468,0,0,5,4,5,0,3,0,761,1,1,1,0
76,76,0c65d861-fd6d-4222-b149-3e6b1f529320,SA,72,0,12,12,400,158520,426,0,0,0,0,3,0,3,40,859,1,1,1,0
77,77,2d09a234-1b6e-4ad5-9609-be7499bb005c,MM,24,0,0,0,0,57300,253,0,0,0,0,0,0,1,40,421,0,1,0,0
78,78,467875d3-bb79-46d2-8a4a-0f0ddf88a4d5,ID,70,0,0,0,0,50600,160,0,0,11,8,0,0,1,11,511,1,1,1,0
79,79,33e625fe-ccd1-46b5-877a-1e905efbdc50,UA,78,0,5,5,0,115160,380,0,0,3,2,1,0,3,41,802,1,1,1,0
80,80,4a3ac006-729e-4ff1-a76f-eb21dfe7eec6,IT,60,5,0,0,0,96900,172,4,0,3,2,0,0,2,7,474,1,1,0,0
81,81,f790679e-0c51-4999-8f03-e166b5202c7e,HR,69,4,35,35,630,175000,408,4,0,5,3,0,0,5,10,908,1,1,0,0
82,82,d5905800-181b-49c1-8f98-7c179c737f3c,MX,14,15,0,0,400,26400,168,0,0,0,0,3,0,1,33,380,0,0,0,0
83,83,c6b3ca60-25e3-48f6-b5e6-3bf6e007f440,MX,56,16,2,2,520,105620,278,1,1,0,0,3,0,4,40,720,1,1,0,0
84,84,97ee10ae-b1c1-477f-9979-2d427800b3a1,BG,70,5,6,6,650,104220,417,0,0,11,10,6,0,1,34,740,1,1,1,0
