level_cnt1,ads_cnt1,pvp_cnt1,pvp_won_cnt1,gem_spend1,coin_spend1,gem_earn1,ads_reward_cnt1,org_hero_cnt1,level_e_try_cnt1,level_e_cnt1,idle_cnt1,purchase_times1,login_cnt1,level_h_cnt1,log_num1,d1_duration,d2_duration,d3_duration,willpay,daily_task_cnt1,level_cnt2,ads_cnt2,pvp_cnt2,pvp_won_cnt2,gem_spend2,coin_spend2,gem_earn2,ads_reward_cnt2,org_hero_cnt2,level_e_try_cnt2,level_e_cnt2,idle_cnt2,purchase_times2,login_cnt2,level_h_cnt2,log_num2,daily_task_cnt2,level_cnt3,ads_cnt3,pvp_cnt3,pvp_won_cnt3,gem_spend3,coin_spend3,gem_earn3,ads_reward_cnt3,org_hero_cnt3,level_e_try_cnt3,level_e_cnt3,idle_cnt3,purchase_times3,login_cnt3,level_h_cnt3,log_num3,daily_task_cnt3,pvp-unlock,hunt-unlock,exp-unlock,label
160,47,36,36,1977,816500,1688,9,0,31,19,18,0,12,64,2131,17752695,9199814,3804473,0,14,182,7,19,19,2185,919200,2292,7,0,0,0,10,0,5,56,1697,2,46,1,14,14,1450,585500,1747,0,0,0,0,4,0,4,96,1072,8,1,1,1,0
221,10,41,41,2530,1107100,2599,2,2,46,23,20,0,3,67,2499,27885712,21706932,13189907,0,13,82,14,23,23,1800,1002000,1597,2,0,20,14,10,0,3,80,1541,5,47,18,0,0,1260,941400,1305,1,1,15,6,7,0,2,80,1345,3,1,1,1,0
31,1,2,2,650,72260,268,1,0,0,0,3,0,1,40,493,2372873,1300777,1316510,0,5,7,0,0,0,250,62260,263,0,0,0,0,5,0,1,40,339,5,7,0,6,6,310,102600,359,0,0,0,0,3,0,2,40,377,7,1,1,0,0
133,0,0,0,0,307400,797,0,0,16,15,12,0,4,40,1130,11084846,4555948,11512244,0,5,25,20,0,0,0,174000,405,0,0,6,5,4,0,2,0,318,3,74,70,17,17,840,1050000,963,0,0,4,5,8,0,3,0,968,4,1,1,1,0
140,2,10,10,1200,337400,1263,0,0,24,12,10,0,8,46,1327,9801269,6516024,2732560,0,9,55,3,12,12,1900,579000,1533,0,1,5,1,6,0,8,78,977,8,24,1,10,10,600,135000,1047,0,0,7,4,4,0,4,6,319,4,1,1,1,0
162,45,27,27,2580,1517300,2419,14,0,122,67,11,0,4,63,2245,33439305,4443923,12588521,0,14,86,12,3,3,1187,695500,1563,11,1,0,0,3,0,2,27,837,6,150,12,20,20,2137,1231500,1939,1,0,35,21,3,0,1,70,1664,6,1,1,1,0
116,34,7,7,1620,585620,1396,34,3,5,4,10,2,3,28,1286,10841310,0,323174,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,216,0,0,0,0,1,0,1,0,105,0,1,1,1,0
53,0,0,0,560,96500,309,0,0,0,0,0,0,3,31,592,3292705,9693223,1707449,0,9,35,4,3,3,760,330900,655,3,0,16,8,0,0,5,27,531,5,40,0,0,0,300,135000,265,0,0,0,0,0,0,1,0,250,1,1,1,1,0
99,21,2,2,250,304400,807,1,0,4,4,42,0,3,42,1069,7159383,5217199,6480315,0,11,70,9,29,29,800,450000,1520,4,0,1,1,17,0,4,31,857,5,48,38,0,0,310,908100,1174,6,1,4,3,13,0,6,80,1032,2,1,1,1,0
80,4,6,6,0,247820,746,0,0,4,3,3,0,3,80,1104,5124793,14264007,922060,0,12,72,122,34,34,1992,1061580,2099,11,3,4,3,4,0,9,80,2097,7,3,1,1,1,0,270000,370,0,0,1,0,2,0,3,9,141,2,1,1,1,0
73,0,3,3,250,106120,595,0,0,3,2,2,0,5,65,880,5178218,21270,393677,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,19500,48,0,0,0,0,0,0,1,14,86,0,1,1,1,0
64,0,0,0,0,42420,16,0,0,0,0,0,0,2,3,433,7056222,2966354,293928,0,0,40,0,0,0,0,91080,248,0,0,2,2,0,0,2,5,305,0,4,0,0,0,0,10800,120,0,1,0,0,0,0,1,1,39,0,1,1,1,0
13,1,0,0,0,5700,0,0,0,0,0,1,0,2,0,117,1140249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,4,26,26,660,292600,615,0,0,3,2,0,0,8,27,1074,5661531,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
158,10,0,0,853,589400,1060,8,0,36,17,61,0,7,30,1607,20673771,10930338,2473492,0,0,125,4,1,1,1721,886100,2061,1,0,3,0,86,0,3,98,1563,7,5,2,0,0,1178,180000,894,1,1,0,0,19,0,9,40,370,4,1,1,1,0
79,1,20,20,520,181220,358,0,0,13,9,4,0,3,21,829,9130340,0,7266848,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,21,21,870,141180,984,0,0,21,5,3,0,4,0,404,10,1,1,1,0
