gaid,country,level_cnt,ads_cnt,pvp_cnt,pvp_won_cnt,gem_spend,coin_spend,gem_earn,ads_reward_cnt,org_hero_cnt,level_e_try_cnt,level_e_cnt,idle_cnt,purchase_times,login_cnt,level_h_cnt,log_num
d8da9a38-8cf2-4f67-bb0e-d1bddf3f09de,EG,55,95,1,1,1320,323700,1022,93,0,0,0,9,0,4,62,1450
f5e16c45-cfa2-4dfe-a63c-276b6d7d50f1,UA,99,6,5,5,900,233860,699,6,0,6,4,11,0,8,20,879
97e0a321-cca4-4603-9be7-79f36d93fbc0,GT,64,30,5,5,0,151400,404,2,0,0,0,9,0,2,40,857
0ae2bf60-b8c8-4192-898e-3af0b470d916,RU,70,4,0,0,750,125120,428,4,0,8,5,1,0,3,40,780
28075673-555e-4c40-b99f-2cf74f81a801,ES,47,50,6,6,0,105620,170,3,0,0,0,2,0,9,6,736
b0fc300f-c966-4180-8508-92c6e572e135,FR,75,43,0,0,0,115160,162,2,0,4,2,0,0,2,10,763
b64958b2-d614-447e-92d6-12ff985f05d3,BR,55,2,0,0,0,51000,80,0,0,0,0,8,0,6,0,390
014c2925-6c37-4243-ab00-7b1bf779979b,RS,52,10,45,45,535,210400,698,4,0,0,0,2,0,3,40,967
e8e899a1-ccd2-49f1-b501-a6643ebf5e72,LT,52,88,0,0,500,224900,279,0,0,0,0,16,0,2,40,1101
e9510b09-bfb2-4fe4-adbe-2a759a26cd89,ID,85,3,0,0,815,122560,663,0,0,15,7,10,0,7,5,679
5591d6c5-e470-4038-8cb7-acef15b70605,PL,95,18,0,0,360,125120,399,5,0,10,8,0,0,2,19,838
4391f6fd-6d75-4a1c-84bc-7b007796d8b5,RU,70,6,1,1,0,105620,406,1,0,13,8,2,0,4,44,770
f9783a6f-475b-4566-9947-fabe1e31b3ec,GB,82,2,0,0,700,146900,423,2,0,0,0,0,0,6,40,846
ca6736c5-dd43-4751-bf98-499785708fd9,AR,46,3,0,0,500,37920,102,0,0,0,0,5,0,4,24,604
fb144746-5ca9-4728-a236-3ab53dc868f3,IT,77,0,1,1,640,146300,528,0,0,9,6,1,0,5,60,900
bdecf7c5-d590-4c43-b1d8-4a1a571109a0,RU,80,1,14,14,600,193700,478,0,0,7,6,5,0,10,40,930
4f6218ad-ac72-4cdf-b8e0-b5bf64c6a123,RU,43,44,0,0,0,105620,140,0,0,0,0,0,0,3,11,668
c6779456-6c12-4527-8f9b-c267e872308d,BY,77,3,0,0,0,125120,404,2,0,7,5,0,0,4,21,706
fd35c0a4-4e37-45f9-a046-96839e8d0b16,VE,18,30,0,0,0,55200,44,0,0,0,0,0,0,3,19,413
dc94f18c-aad0-4ec6-851a-e102ce60afe2,HN,26,1,0,0,0,5700,4,0,0,0,0,9,0,3,2,508
4ae051f6-e20e-4800-9a93-b1ccb0a07f3e,US,7,10,0,0,250,1020,40,9,0,0,0,2,0,4,0,169
0c0a2a9a-0097-44cf-b6c2-4aba8e4517f0,MN,43,0,0,0,520,157520,1120,0,1,0,0,7,0,7,75,746
834e58d9-aa61-4ef0-8ff3-88170babb732,NL,124,6,0,0,0,251960,600,2,0,0,0,0,0,3,0,823
31723f3b-43d3-49ea-b802-02f2954e222a,NL,56,5,44,44,1230,211000,841,5,1,0,0,14,0,6,48,1194
7bb1f93e-d28d-4f08-971d-def3faa37e1e,VN,107,2,23,23,1340,332520,1446,0,0,5,3,5,0,6,37,1127
fd58ea4c-fbb6-4d89-bbd7-384ffc404b2d,VN,89,1,0,0,180,131520,583,0,0,0,0,17,0,6,0,659
648d3759-5d47-4d02-9f81-7de4caf2ff0c,KR,74,40,4,4,260,97000,521,35,0,0,0,6,0,2,19,919
fbbeec9b-7cd5-44b4-a427-44d128dc7868,CL,113,7,21,21,1050,249620,844,3,0,1,1,9,0,4,11,1056
026472fe-ea45-4a7d-8118-483384578860,AM,73,0,2,2,800,219920,658,0,0,3,3,2,0,4,54,848
f7638a53-feff-4882-9a6a-f5b793589687,BA,70,5,6,6,200,60100,558,0,1,4,3,3,0,5,21,700
52158bfd-d35a-49b6-b361-4435c5ba2673,IT,78,1,1,1,0,162500,498,0,0,4,4,4,0,3,80,1024
88973d3d-91f2-42ef-8e16-66b2ca1ebf81,IT,100,8,5,5,1020,233660,913,2,0,7,6,6,0,6,13,879
673b1bd1-c559-4460-9bfa-ca4e6b71a855,ID,71,46,0,0,0,138500,323,46,0,0,0,0,0,10,27,941
2cf1bf5d-b900-4a1e-b53d-92e068d7c055,ID,82,0,6,6,620,184420,500,0,0,12,11,5,0,6,40,904
68014193-f539-42a3-906f-dc8b7be0e11a,IN,74,3,0,0,180,88400,221,0,0,10,5,4,0,6,2,604
e3c7759b-06da-4c05-a366-a55945a15e14,MY,80,4,12,12,700,153100,315,0,0,8,3,8,0,3,14,750
0d24a4c9-9d44-4550-ade0-a8f12703d8f1,AT,65,2,4,4,800,135500,418,0,0,12,9,1,0,4,41,758
b30b89fd-a852-49a1-a830-56cc60ebe39e,NL,51,26,9,9,600,206600,344,0,0,0,0,5,0,2,23,719
224a4920-a8e6-49e0-ac11-3c28ca6fd5a9,ID,100,0,9,9,225,398400,1430,0,0,3,2,1,0,1,80,1132
bae97954-9258-40f1-8657-ba9c9205026e,BR,55,42,0,0,650,143600,350,5,0,0,0,6,0,3,40,868
78a5f8d3-0fd8-44c9-9dd9-b93bd973f62f,FI,90,25,16,16,0,206600,407,25,0,6,4,7,0,2,9,938
9112f767-a267-47c9-8a9a-7418b3834be7,MK,88,2,1,1,400,248720,755,0,0,8,5,0,0,2,48,894
7499a314-2087-40d2-9206-5c33c12cff1e,EC,54,46,9,9,400,157520,162,2,0,0,0,2,0,1,12,746
3634952f-04fa-42c6-ba5a-0b6446b40998,US,75,20,11,11,0,245820,576,0,0,4,4,2,0,2,40,990
c7c1e484-4646-4fc1-a67e-fb29c2674fb4,RO,70,4,20,20,0,181220,451,2,0,12,6,4,0,6,40,896
44effda3-cd3a-4dc9-b501-60fb69539efe,RO,120,2,0,0,700,247820,758,0,0,3,3,3,0,6,45,1153
d6fa5b7f-1c09-4d2f-b61c-16b1b1b1d6c5,PE,20,31,0,0,0,26400,86,12,0,0,0,0,0,2,16,420
338adf99-f099-4fb7-810d-e7868b4aa1d5,KR,98,4,2,2,620,279420,678,4,0,0,0,1,0,5,50,1046
bb5a7b9d-4b41-44bb-a0d4-3180ffe9e69e,ES,107,15,0,0,370,272900,720,14,0,0,0,11,0,8,21,850
d06cd2f7-1038-4911-87e0-61c1951dc144,KR,135,3,18,18,1572,367400,1475,1,0,2,2,9,0,6,24,1234
aee57107-ece2-496d-9c6e-7b5e26cc9aaa,GR,91,0,20,20,880,233660,514,0,0,10,7,11,0,5,1,807
4e36109b-cb8d-4ab0-b65f-9cf1731718a6,US,70,24,3,3,500,135500,268,5,0,2,1,0,0,2,5,712
e964671b-a6ea-4cd4-a60c-eb7a786c0286,MX,53,8,0,0,400,115260,566,0,0,0,0,4,0,5,80,941
64f131ec-c0e2-4474-8023-b03992fde175,BR,72,8,0,0,660,127620,398,6,1,8,5,0,0,3,40,792
2c475a60-d6c5-43b1-b028-8a3c0c98b4a7,BR,56,37,1,1,450,169860,280,34,0,0,0,8,0,6,40,898
73d17a93-5f92-4299-813a-282f0d3b07e7,BR,56,25,0,0,250,86300,325,1,1,0,0,6,1,1,5,581
5a2c34c2-e134-47ec-8d96-98e5d51d2fd0,BR,72,72,0,0,31,182620,270,25,0,0,0,14,0,1,18,1032
2a2e54d9-d7c7-4b03-a9f6-aee7ad320f71,TR,69,5,0,0,600,169760,383,0,0,9,6,5,0,6,24,704
c544c781-b36e-470d-b30d-fceb6ea7b83f,PL,92,2,0,0,454,170560,547,2,0,11,7,8,0,7,17,766
1a243715-bd9e-4529-8bf1-ee242359dfdd,ES,91,9,19,19,1083,277400,763,3,0,8,5,8,0,7,21,978
19134bbb-d4c3-4b06-adb2-3dedd46eb734,IT,78,1,0,0,0,94500,147,1,0,0,0,26,0,1,6,639
4f142e37-f05a-41e6-8ad3-29bc8d370ac5,KG,69,2,2,2,0,125120,419,0,0,0,0,1,0,5,40,778
f8c22569-1875-41fb-b1ad-0ccc2afed7ab,KR,116,1,0,0,0,220020,597,1,0,5,5,2,0,4,10,858
77b19fee-65bb-42a7-b67f-f3ab2df03080,BD,80,6,18,18,1640,310320,1328,3,0,0,0,15,0,16,6,979
33966f6a-0482-4b9c-8c0e-fb89768a5c64,FR,85,0,0,0,0,135500,481,0,0,7,5,4,0,1,23,685
1d2a4534-b5c5-4359-a843-33ad3bb2d1a1,FR,68,43,2,2,0,125120,167,5,0,0,0,5,0,2,10,763
6103c76a-f640-4262-afb5-1cb1e611a98a,ES,43,59,2,2,0,57200,236,17,0,0,0,3,0,2,7,726
778fc94d-2fec-42ff-ac9d-f8af6a9d5b40,IT,178,7,3,3,1786,382500,1597,6,0,3,2,6,0,5,0,1204
a977af5c-ff78-4ea8-ac5a-b37462480ea2,FI,124,2,0,0,1080,292400,903,2,0,4,3,8,0,9,16,925
41ab6a00-636d-417e-b8fb-e90743de7750,PL,59,52,0,0,240,125120,207,1,0,0,0,10,0,10,5,781
1452fee6-f213-4589-8e8a-01db817eaffd,PL,79,51,0,0,0,206600,327,24,0,0,0,8,0,4,10,874
f68540ed-31cc-4753-af78-d1ca3417ddf0,BY,70,1,1,1,0,57800,175,0,0,11,7,6,0,1,0,490
32955f4b-8082-4abf-8285-7dffbb0477bf,PK,70,32,3,3,0,129320,252,0,0,3,2,3,0,1,10,691
0157ca7e-c1dc-484a-911b-4618246aeabe,PH,54,77,6,6,500,125120,237,29,0,0,0,7,0,1,20,1006
ebf6c162-c557-4255-8033-cd3326f58a34,BD,50,1,0,0,0,48600,206,0,0,0,0,12,0,18,18,608
37c8b889-4365-49cd-83bc-3928f0261ad7,MY,89,6,0,0,0,92120,331,1,0,1,1,6,0,7,1,697
968c8ad9-cb77-48ad-8e3d-93b1a075a4e9,RO,70,10,2,2,0,107620,398,1,0,6,4,0,0,2,40,794
b3ea1ce7-70ea-474a-b81b-0805aa7fdec4,US,108,5,2,2,660,198920,685,0,0,0,0,22,0,4,40,1015
d98c60e9-0267-4517-abc3-48d64d04567a,PK,65,4,3,3,720,115660,360,0,0,1,1,13,0,3,34,815
cc11fbae-5e5e-49cd-84b2-e3ad4f6f15a9,PH,81,0,0,0,930,178360,588,0,0,3,2,9,0,11,11,718
1e2d09cd-fc79-4c42-888d-a08a5f5ad842,IR,60,1,12,12,680,100800,316,0,0,0,0,2,0,12,4,760
7a46a8b4-8e62-4830-9ea2-fb2439e57ede,RO,35,0,0,0,0,26400,0,0,0,0,0,0,0,2,0,434
f125f0e1-18b5-4712-a47c-75e54879a047,PH,91,12,10,10,0,234200,769,12,0,3,3,3,0,4,10,896
756c9817-d2ac-4c23-954e-af5a356b1028,PS,84,12,6,6,500,139700,291,0,0,0,0,11,0,2,6,708
5aee1bd3-0ef9-4ae3-b22a-e6ce089336cf,HR,65,68,1,1,0,125520,294,11,0,0,0,1,0,5,17,912
098958f5-ad53-4b26-b3c1-06edb35f0d8e,RU,79,37,0,0,400,352400,734,0,0,5,4,8,0,1,22,885
46d95d6b-16b4-4eda-824a-165213775107,CA,101,8,0,0,0,109420,440,8,1,0,0,0,1,6,0,730
b52f36ed-cc22-4fdb-95c9-d18c97e237db,BD,83,37,21,21,10,307500,328,0,0,2,2,6,0,5,20,1037
754c8119-ea47-4982-a1b1-bdeef1b8cc4c,IN,81,7,1,1,1110,169160,714,0,0,4,3,6,0,9,45,963
90851222-4143-473e-81a5-72b7b707512b,IR,93,7,1,1,494,115460,409,5,0,2,1,1,0,6,9,699
2d983fdc-a024-45df-bc95-010b84b1b739,IL,80,22,1,1,800,248820,478,21,0,0,0,3,0,10,4,862
b10e6a09-32db-45f9-b140-db2098a8292f,CA,53,60,8,8,0,105620,376,28,1,0,0,4,1,1,11,886
b9017968-1f48-4469-be8a-20321d37f7ab,CZ,95,1,10,10,940,137520,620,0,0,4,3,0,0,3,19,830
e4abeb4a-d502-4bb2-9e0e-0a94a9220b37,VN,56,2,12,12,250,146300,366,0,0,0,0,1,0,8,61,899
d0c4aec5-7244-42dd-9968-94ec18d7010c,LT,81,1,5,5,500,158620,381,1,0,14,10,4,0,5,19,725
a9b73030-d669-4090-bc31-760fa090505b,BD,73,0,13,13,0,115660,328,0,0,0,0,0,0,7,40,832
4563e279-80e0-48db-aa81-79092761f561,VE,57,0,0,0,100,73560,168,0,0,0,0,15,0,1,40,619
46fb1fcd-d049-4fac-be51-a819ab644777,RO,82,15,0,0,400,125120,363,0,0,3,3,0,0,2,40,866
0aca70b7-07eb-4da7-9c7c-68587f0b5b9a,DE,105,7,3,3,450,208000,678,7,0,6,6,0,0,2,40,1025
926afb23-bf51-4e59-a698-22d7bf9b1f02,KR,91,0,0,0,0,193800,510,0,2,7,4,4,1,1,40,867
0a3f2ff9-225b-4d74-9987-93521a8595cf,AR,62,0,0,0,177,92100,180,0,0,0,0,3,0,1,30,565
002f3b6a-62db-4314-9246-9cb22f733015,AR,70,0,2,2,0,87800,308,0,0,9,5,0,0,3,40,741
02deb72d-6c43-42fc-a86a-c5ce43b202c0,BG,67,5,0,0,400,106220,367,3,0,7,4,3,0,4,0,499
c5ab3975-25c2-428c-a7f1-57dd8d15b2c9,KR,91,5,10,10,1220,289400,891,5,0,5,3,30,0,5,46,1163
3dcc1e49-7c6f-4e42-82e5-7635ac642bbb,RO,70,8,3,3,0,146300,453,8,0,6,5,12,0,7,18,705
f37bad5d-d97b-4c0e-ad90-d4d3a72c47a0,BD,72,0,0,0,240,135500,500,0,0,7,5,4,0,5,40,767
77444392-312e-4052-8b15-3b49a5022104,VN,65,15,2,2,250,87800,258,2,0,0,0,0,0,2,8,573
3900c742-fc21-4694-bce1-8194ae97469e,IN,62,8,1,1,900,169660,569,0,0,0,0,9,0,10,60,891
82e45ae6-14f2-4e79-9205-23600e98a6a7,BA,100,4,0,0,0,146300,362,0,0,0,0,6,0,5,10,746
7113d869-eb75-4eff-bf68-0425d7bdb3fa,GT,95,18,1,1,0,206600,505,1,0,5,4,12,0,2,7,759
1f4a58f5-3475-4728-9a33-bd629c3ac024,KG,71,0,0,0,0,94500,288,0,0,8,6,0,0,3,40,724
ec984023-26f1-4429-a6ca-7411079b2f83,US,72,0,2,2,94,99800,399,0,0,8,6,2,0,3,40,729
d6dd8611-4ea1-4a85-bba9-e3df8f7c2777,US,69,14,5,5,250,169660,411,14,0,7,6,6,0,5,10,745
0228d57a-1e98-43b8-b00e-79a52884e830,US,114,1,0,0,860,206600,507,0,0,0,0,0,0,7,5,783
959f2d6d-e4e0-4012-a785-425607bede07,SK,79,1,0,0,0,115160,429,0,0,1,1,1,0,2,26,713
27966b48-8dfc-4008-a2f8-78538fb02bc1,ES,76,13,12,12,700,167160,480,9,0,6,2,5,0,5,9,747
422319f4-0a8d-4652-851b-95556943986b,RO,85,44,11,11,926,323020,789,5,0,7,3,8,0,8,5,977
